NO.,Storage Location,Lot_ID,Re-Code,Material,Material Description,Base Unit of Measure,Intake Vol (kg),Remain Vol (kg),Pkg Vol,Date of Manufacture,Expire Date,Batch prepare (KG.)
165,SPP,lot-2026-01-27-165,,1216450241200117,Apple Juice Concentrate,KG,125,125,0,10/2/2025 ,10/2/2026 ,
166,SPP,lot-2026-01-27-166,,1216450241200117,Apple Juice Concentrate,KG,200,200,0,16/9/2025 ,16/9/2026 ,
167,SPP,lot-2026-01-27-167,,1216450241200121,Passion fruit puree,KG,,,0,,,
168,SPP,lot-2026-01-27-168,,1216450241200132,Frozen Lychee Puree (100%),KG,1056.2,1056.2,0,14/3/2025 ,13/3/2027 ,
169,SPP,lot-2026-01-27-169,,1216450242000037,"Coconut syrup, น้ำเชื่อมตาลมะพร้าว.",KG,2220,2220,0,8/1/2026 ,8/3/2026 ,
170,SPP,lot-2026-01-27-170,,1216450242000037,"Coconut syrup, น้ำเชื่อมตาลมะพร้าว.",KG,8910,8910,0,15/1/2026 ,15/3/2026 ,
171,SPP,lot-2026-01-27-171,,1216450242000037,"Coconut syrup, น้ำเชื่อมตาลมะพร้าว.",KG,720,720,0,13/1/2026 ,13/3/2026 ,
172,FH,lot-2026-01-27-172,,1217150041000001,FD&C BLUE NO.1 (Brilliant Blue Colour).,KG,40,40,0,13/11/2024 ,12/11/2030 ,0.5
173,FH,lot-2026-01-27-173,,1217150041000002,FD&C YELLOW NO. 5 (Tartrazine Color).,KG,20,20,0,12/12/2022 ,10/12/2028 ,0.5
174,FH,lot-2026-01-27-174,,1217150041000004,FD&C Red No.40 (Allura Red Colour).,KG,41.0135,41.0135,0,14/2/2025 ,13/2/2031 ,0.5
175,FH,lot-2026-01-27-175,,1217150041000004,FD&C Red No.40 (Allura Red Colour).,KG,20,20,0,2/1/2025 ,1/1/2031 ,0.5
176,FH,lot-2026-01-27-176,,1217150041000005,Caramel Colour Class IV (INS 150d).,KG,25,25,0,16/4/2025 ,15/4/2027 ,0.5
177,FH,lot-2026-01-27-177,,1217150041000005,Caramel Colour Class IV (INS 150d).,KG,12.146,12.146,0,16/4/2025 ,15/4/2027 ,0.5
178,FH,lot-2026-01-27-178,,1217150041000012,Caramel Colour Class III (INS 150c).,KG,25.615,25.615,0,8/8/2025 ,7/8/2027 ,0.5
179,FH,lot-2026-01-27-179,,1217150041000015,"Sunset Yellow FD&C Yellow No.6, 1kg/bag.",KG,20,20,0,1/6/2024 ,31/5/2028 ,0.5
180,FH,lot-2026-01-27-180,,1217150041000015,"Sunset Yellow FD&C Yellow No.6, 1kg/bag.",KG,32.412,32.412,0,17/3/2022 ,15/3/2028 ,0.5
181,FH,lot-2026-01-27-181,,1217150041000017,Eurocert carmoisine,KG,240,240,0,21/11/2023 ,19/11/2029 ,0.5
182,FH,lot-2026-01-27-182,,1217150041000017,Eurocert carmoisine,KG,20,20,0,19/9/2023 ,17/9/2029 ,0.5
183,SPP,lot-2026-01-27-183,,1217150041000018,Instant Textaid A,KG,703.7,703.7,0,8/9/2025 ,8/9/2027 ,
184,SPP,lot-2026-01-27-184,,1235210443000028,"Erythritol, 25 kgs/bag.",KG,2063.084,2063.084,0,21/9/2025 ,20/9/2027 ,
185,SPP,lot-2026-01-27-185,,4114181242000021,"Liquid Glucose, กลูโคสเหลว 80 บริกซ์.",KG,5520,5520,0,7/1/2026 ,8/3/2026 ,
186,SPP,lot-2026-01-27-186,,4114181242000021,"Liquid Glucose, กลูโคสเหลว 80 บริกซ์.",KG,6168,6168,0,10/1/2026 ,11/3/2026 ,
187,SPP,lot-2026-01-27-187,,4114181242000021,"Liquid Glucose, กลูโคสเหลว 80 บริกซ์.",KG,3264,3264,0,5/1/2026 ,6/3/2026 ,
188,SPP,lot-2026-01-27-188,,4114181242000021,"Liquid Glucose, กลูโคสเหลว 80 บริกซ์.",KG,1152,1152,0,12/1/2026 ,13/3/2026 ,
189,SPP,lot-2026-01-27-189,,4114181242000021,"Liquid Glucose, กลูโคสเหลว 80 บริกซ์.",KG,6168,6168,0,10/1/2026 ,11/3/2026 ,
190,SPP,lot-2026-01-27-190,,4114181242000021,"Liquid Glucose, กลูโคสเหลว 80 บริกซ์.",KG,576,576,0,13/1/2026 ,14/3/2026 ,
191,SPP,lot-2026-01-27-191,,5016190043000027,"Sucralose, 1kg * 10/bag.",KG,120,120,0,20/5/2025 ,19/5/2027 ,
192,SPP,lot-2026-01-27-192,,5016190043000027,"Sucralose, 1kg * 10/bag.",KG,190,190,0,31/8/2025 ,30/8/2027 ,
193,SPP,lot-2026-01-27-193,,5016190043000027,"Sucralose, 1kg * 10/bag.",KG,40,40,0,19/4/2025 ,18/4/2025 ,
194,SPP,lot-2026-01-27-194,,5022130041000036,NATIONAL FRIGEX CL,KG,2000,2000,0,16/12/2025 ,16/12/2027 ,
195,SPP,lot-2026-01-27-195,,5022130041000036,NATIONAL FRIGEX CL,KG,800,800,0,22/10/2025 ,22/10/2027 ,
196,SPP,lot-2026-01-27-196,,5022130042000023,"Modified starch, แป้งดัดแปร, 25 kgs/bag.",KG,3600,3600,0,13/10/2025 ,13/10/2027 ,
197,SPP,lot-2026-01-27-197,,5022130042000023,"Modified starch, แป้งดัดแปร, 25 kgs/bag.",KG,1100,1100,0,20/7/2025 ,20/7/2027 ,
198,SPP,lot-2026-01-27-198,,5022130043000022,Native tapioca starch แป้งมัน 20 kg/bag.,KG,420,420,0,28/11/2025 ,25/2/2026 ,
199,SPP,lot-2026-01-27-199,,5113162841000024,Citric Acid.,KG,2425,2425,0,1/11/2025 ,1/11/2028 ,
201,SPP,lot-2026-01-27-200,,5119160242000025,"Salt, NaCl, เกลือ บรรจุ 400 g,25 kg/bag.",KG,7400,7400,0,8/1/2026 ,8/1/2029 ,
202,SPP,lot-2026-01-27-201,,5119160242000025,"Salt, NaCl, เกลือ บรรจุ 400 g,25 kg/bag.",KG,975,975,0,14/12/2025 ,14/12/2028 ,
